startX,bin,pins
876.5,bin11,'pinR1C9|pinR1C8|pinR2C8|pinR3C9|pinR3C10|pinR5C9|pinR5C9|pinR6C9|pinR6C9|pinR6C9|pinR7C9|pinR9C10|pinR9C9|pinR10C9|pinSep10|'
660.5,bin11,'pinR2C6|pinR3C7|pinR3C8|pinR2C8|pinR2C7|pinR3C8|pinR6C9|pinR5C10|pinR5C10|pinR6C9|pinR8C10|pinR9C11|pinR9C11|wall|rightwall|pinR11C11|pinR11C10|pinSep10|sep|'
167.5,bin2,'pinR1C2|pinR2C1|pinR2C2|pinR4C1|wall|pinR5C1|pinR7C2|pinR8C2|pinR8C2|pinR10C1|wallsep|pinR11C1|pinR11C1|pinSep1|pinSep2|sep|'
185.5,bin2,'pinR1C2|pinR1C1|pinR3C1|pinR3C1|pinR5C2|pinR4C2|pinR5C2|pinR7C3|pinR8C2|pinR9C3|pinR11C2|pinR10C2|pinR11C3|'
71.5,bin5,'pinR1C1|wall|leftwall|pinR1C1|pinR3C1|leftwall|wall|pinR5C1|wall|wall|pinR7C1|pinR11C3|pinR10C3|pinSep4|'
599.5,bin7,'pinR1C6|pinR1C7|pinR2C6|pinR4C5|pinR3C5|pinR4C5|pinR4C5|pinR5C5|pinR7C6|pinR7C5|pinR8C5|pinR9C6|pinR9C5|pinR10C5|'
814.5,bin8,'sep|'
607.5,bin9,'pinR1C6|pinR4C7|pinR4C8|pinR3C8|pinR4C7|pinR6C8|pinR6C8|pinR8C9|pinR7C10|pinR10C9|pinR11C10|pinSep8|pinSep9|pinSep9|sep|'
1002.5,bin8,'pinR1C10|pinR1C11|pinR3C10|pinR2C10|pinR4C10|pinR4C10|pinR5C11|pinR5C10|pinR7C10|pinR7C9|pinR9C9|pinR9C10|pinR10C9|pinR11C9|sep|'
191.5,bin2,'pinR1C2|pinR2C2|pinR4C1|pinR3C2|pinR4C2|pinR6C1|pinR5C2|pinR6C2|pinR8C2|pinR11C1|wallsep|sep|'
365.5,bin4,'sep|'
